detyear,species,sample_size,stranded,escaped
2011,wst,67,1,66
2012,wst,21,2,19
2012,chn,12,9,3
2013,wst,36,2,34
2014,wst,22,0,22
2015,wst,24,2,22
2013,chn,52,17,35
2014,chn,35,13,22
2015,chn,30,10,20
