"","detyear","Sp","meanres","sdres"
"1","2012 - 2013","chn",11.0503944830247,9.02841320404351
"2","2012 - 2013","wst",72.8463458994709,46.4827901006041
"3","2013 - 2014","chn",13.0514093660969,14.8408295617793
"4","2013 - 2014","wst",47.940055619856,32.2822706768629
"5","2014 - 2015","chn",18.9689840133102,21.7897853859228
"6","2014 - 2015","wst",79.5391266835017,48.9961476414104
"7","2015 - 2016","chn",23.7910563271605,18.2686102427135
"8","2015 - 2016","wst",72.7298403742284,53.4134712496708
